         4715341 function calls (4704452 primitive calls) in 2.289 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.001    0.000 ecc.py:944(ECC_F1)
        3    0.000    0.000    0.001    0.000 ecc.py:772(to_affine)
      881    0.001    0.000    0.001    0.000 z2field_element.py:219(as_list)
    10309    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      113    0.000    0.000    0.001    0.000 zpoly.py:73(__init__)
        1    0.001    0.001    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        5    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
       17    0.000    0.000    0.001    0.000 zpoly.py:642(__add__)
        4    0.000    0.000    0.001    0.000 zpoly.py:664(__sub__)
        6    0.000    0.000    0.001    0.000 zpoly.py:304(poly_mul_normal)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
    51/38    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        7    0.000    0.000    0.001    0.000 zpoly.py:262(poly_mul)
       43    0.000    0.000    0.001    0.000 core.py:150(get_object_signature)
7946/7883    0.001    0.000    0.001    0.000 {len}
        1    0.001    0.001    0.001    0.001 {function seed at 0x7fc28c3ea410}
        3    0.000    0.000    0.001    0.000 zpoly.py:406(intt)
       42    0.000    0.000    0.001    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
       24    0.000    0.000    0.001    0.000 sre_compile.py:433(_compile_info)
       17    0.000    0.000    0.001    0.000 abc.py:105(register)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6550(__init__)
   118/67    0.000    0.000    0.001    0.000 {issubclass}
       42    0.000    0.000    0.001    0.000 sre_compile.py:256(_optimize_charset)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6555(getdoc)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      279    0.001    0.000    0.001    0.000 {__import__}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 collections.py:11(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
   171/76    0.000    0.000    0.000    0.000 sre_parse.py:152(getwidth)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
       31    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5562abea79c0}
       53    0.000    0.000    0.000    0.000 core.py:891(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       12    0.000    0.000    0.000    0.000 zpoly.py:839(__add__)
        1    0.000    0.000    0.000    0.000 linalg.py:10(<module>)
       24    0.000    0.000    0.000    0.000 zpoly.py:728(__init__)
      454    0.000    0.000    0.000    0.000 sre_parse.py:142(__getitem__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ecc.py:60(<module>)
     2546    0.000    0.000    0.000    0.000 ecc.py:190(get_P)
        4    0.000    0.000    0.000    0.000 zpoly.py:670(__neg__)
        6    0.000    0.000    0.000    0.000 polynomial.py:790(polymul)
        2    0.000    0.000    0.000    0.000 zfield.py:231(reduce)
       92    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 zfield.py:105(<module>)
        7    0.000    0.000    0.000    0.000 ecc.py:957(ECC_F2)
       12    0.000    0.000    0.000    0.000 zpoly.py:599(scale)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:302(_add_aliases)
        8    0.000    0.000    0.000    0.000 zfield.py:962(inv)
       68    0.000    0.000    0.000    0.000 zpoly.py:126(set_properties)
       84    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
     13/1    0.000    0.000    0.000    0.000 groth_protocol.py:231(json_to_dict)
      394    0.000    0.000    0.000    0.000 sre_parse.py:207(match)
        1    0.000    0.000    0.000    0.000 ecc.py:146(init)
